,,,,, ,,,
"Harmonic
Series degree","Frequency
ratio to
fundamental ",Frequency,Octave,"Denom
to fit to
lowest
octave","Adjusted
 to fit to lowest
octave ","Adjusted
 to fit to lowest
octave (reduced)",Decimal,Frequency in lowest octave
1,"""1/1""",528,1,1,"""1/1""","""1/1""",1.00000,528.00
2,"""2/1""",1056,2,2,"""2/2""","""1/1""",1,528
3,"""3/1""",1584,2,2,"""3/2""","""3/2""",1.5,792
4,"""4/1""",2112,3,4,"""4/4""","""1/1""",1.00000,528.00
5,"""5/1""",2640,3,4,"""5/4""","""5/4""",1.25000,660.00
6,"""6/1""",3168,3,4,"""6/4""","""3/2""",1.50000,792.00
7,"""7/1""",3696,3,4,"""7/4""","""7/4""",1.75000,924.00
8,"""8/1""",4224,4,8,"""8/8""","""1/1""",1.00000,528.00
9,"""9/1""",4752,4,8,"""9/8""","""9/8""",1.12500,594.00
10,"""10/1""",5280,4,8,"""10/8""","""5/4""",1.25000,660.00
11,"""11/1""",5808,4,8,"""11/8""","""11/8""",1.37500,726.00
12,"""12/1""",6336,4,8,"""12/8""","""3/2""",1.50000,792.00
13,"""13/1""",6864,4,8,"""13/8""","""13/8""",1.62500,858.00
14,"""14/1""",7392,4,8,"""14/8""","""7/4""",1.75000,924.00
15,"""15/1""",7920,4,8,"""15/8""","""15/8""",1.87500,990.00
16,"""16/1""",8448,5,16,"""16/16""","""1/1""",1.00000,528.00
17,"""17/1""",8976,5,16,"""17/16""","""17/16""",1.06250,561.00
18,"""18/1""",9504,5,16,"""18/16""","""9/8""",1.12500,594.00
19,"""19/1""",10032,5,16,"""19/16""","""19/16""",1.18750,627.00
20,"""20/1""",10560,5,16,"""20/16""","""5/4""",1.25000,660.00
21,"""21/1""",11088,5,16,"""21/16""","""21/16""",1.31250,693.00
22,"""22/1""",11616,5,16,"""22/16""","""11/8""",1.37500,726.00
23,"""23/1""",12144,5,16,"""23/16""","""23/16""",1.43750,759.00
24,"""24/1""",12672,5,16,"""24/16""","""3/2""",1.50000,792.00
25,"""25/1""",13200,5,16,"""25/16""","""25/16""",1.56250,825.00
26,"""26/1""",13728,5,16,"""26/16""","""13/8""",1.62500,858.00
27,"""27/1""",14256,5,16,"""27/16""","""27/16""",1.68750,891.00
28,"""28/1""",14784,5,16,"""28/16""","""7/4""",1.75000,924.00
29,"""29/1""",15312,5,16,"""29/16""","""29/16""",1.81250,957.00
30,"""30/1""",15840,5,16,"""30/16""","""15/8""",1.87500,990.00
31,"""31/1""",16368,5,16,"""31/16""","""31/16""",1.93750,1023.00
32,"""32/1""",16896,6,32,"""32/32""","""1/1""",1.00000,528.00
